,ScanOrder,Original order,Order in fixture,Scan/-Fixture,Geno,Row,Plant,WR_number,WR,WR_LEcheck,WR_AHcheck,Root,RatiobyPlant,TWRRatio,MWRRatio,BWRRatio,CT notes,ai 1 (dont use),bi1(dont use),ai2,bi2,ao,bo,MajorD,MinorD,MajorThicc,MinorThicc,Majorthicc2,MinorThicc2,CT_Error,K,BL,UL,test notes,MOI_solid,E_MPa,E_GPa,MOItruex,MOItruey,MOI_true_average,,,,,,,
,42,42,,1-Norm1,GT112,1326,8,1,MWR,,,3,0.67702,,1.025950028,,Scanned 7/2,,,0.127,1.167,0.721,1.619,3.238,1.442,,,,,,86.01851,1.07294,7.06071,,0.476587365,18473.74387,18.47374387,,,,,,,,,,
,43,43,,1-Norm1,GT112,1326,8,1,MWR,,,4,0.67702,,1.025950028,,Scanned 7/2,,,0.106,1.317,0.483,1.819,3.638,0.966,,,,,,127.04723,1.42529,10.69835,,0.160977053,80780.5405,80.7805405,,,,,,,,,,
,44,44,,1-Norm1,GT112,1326,9,1,MWR,,,1,0.324644,,0.716686824,,Scanned 7/2,,,0.135,1.197,0.761,1.889,3.778,1.522,,,,,,146.15344,11.25981,19.97146,,0.653846509,22879.09064,22.87909064,,,,,,,,,,
,45,45,,2-Thin1,LH252,1261,4,1,MWR,,,1,0.725679,,0.956618557,,Scanned 7/2,,,0.141,0.305,0.818,1.003,2.006,1.636,,,,,,152.66992,6.48823,6.48823,,0.431172174,36241.67649,36.24167649,,,,,,,,,,
,46,46,,2-Thin1,LH252,1261,4,1,MWR,,,2,0.725679,,0.956618557,,Scanned 7/2,,,0.289,0.595,0.912,1.364,2.728,1.824,,,,,,204.01879,14.09373,14.09442,,0.812622357,25697.26645,25.69726645,,,,,,,,,,
,47,47,,2-Thin1,LH252,1261,4,1,MWR,,,3,0.725679,,0.956618557,,Scanned 7/2,,,0.462,0.506,1.139,1.202,2.404,2.278,,,,,,437.46598,19.41623,28.33195,,1.394972099,32098.46696,32.09846696,,,,,,,,,,
,48,48,,2-Thin1,LH252,1261,4,1,MWR,,,4,0.725679,,0.956618557,,Scanned 7/2,,,0.325,0.804,1.117,1.678,3.356,2.234,,,,,,513.12437,11.13681,21.43716,,1.836713242,28594.78337,28.59478337,,,,,,,,,,
,49,49,,2-Thin1,GT112,1394,4,1,MWR,,,3,0.623563,,0.916541118,,Scanned 7/2,,,0.241,0.266,0.833,0.967,1.934,1.666,,,,,,74.62837,7.44809,7.44809,,0.438986697,17400.35557,17.40035557,,,,,,,,,,
,50,50,,2-Thin1,GT112,1354,4,2,BWR,,,1,0.460414,,,0.55398612,Scanned 7/2,,,0.439,0.768,0.933,1.644,3.288,1.866,,,,,,243.10241,9.14911,13.38717,,1.048664644,23727.83782,23.72783782,,,,,,,,,,
,51,51,,2-Thin1,HickKing,1314,3,1,MWR,,,2,0.578661,,0.699624764,,Scanned 7/2,,,0.053,0.44,0.459,0.879,1.758,0.918,,,,,,71.13088,4.01644,4.01644,,0.066760075,109055.3298,109.0553298,,,,,,,,,,
,52,52,,2-Thin1,HickKing,1314,3,1,MWR,,,4,0.578661,,0.699624764,,Scanned 7/2,,,0.631,0.802,1.064,1.25,2.5,2.128,,,,,,138.10946,11.32405,11.32405,,1.182564339,11953.75019,11.95375019,,,,,,,,,,
,53,53,,2-Thin1,HickKing,1314,7,1,MWR,,,1,-0.07034,,0.503521198,,Scanned 7/2,,,0.624,0.946,1.066,1.528,3.056,2.132,,,,,,167.14127,4.03002,8.80082,,1.453733671,11768.04647,11.76804647,,,,,,,,,,
,54,54,,2-Thin1,HickKing,1314,7,1,MWR,,,2,-0.07034,,0.503521198,,Scanned 7/2,,,0.586,1.133,1.55,1.73,3.46,3.1,,,,,,372.98212,,22.24319,no BL,5.059773533,7545.055885,7.545055885,,,,,,,,,,
,55,55,,2-Thin1,HickKing,1314,7,1,MWR,,,3,-0.07034,,0.503521198,,Scanned 7/2,,,0.701,0.909,1.292,1.685,3.37,2.584,,,,,,159.25872,3.65484,8.54091,,2.854153508,5711.253275,5.711253275,,,,,,,,,,
,56,56,,2-Thin1,HickKing,1314,6,2,BWR,,,1,0.342252,,,0.31289093,Scanned 7/2,,,0.246,1.063,0.831,1.54,3.08,1.662,,,,,,175.74493,14.64448,14.64448,,0.694086622,25916.39904,25.91639904,,,,,,,,,,
,57,57,,2-Thin1,HickKing,1314,6,2,BWR,,,2,0.342252,,,0.31289093,Scanned 7/2,,,0.178,0.982,0.721,1.455,2.91,1.442,,,,,,195.4501,10.06496,13.10093,,0.428310448,46707.08405,46.70708405,,,,,,,,,,
,58,58,,2-Thin1,HickKing,1314,6,2,BWR,,,3,0.342252,,,0.31289093,Scanned 7/2,,,0.455,1.079,1.339,2.031,4.062,2.678,,,,,,389.58116,23.36089,28.81085,,3.829495256,10412.66598,10.41266598,,,,,,,,,,
,59,59,,2-Thin1,HickKing,1314,4,1,TWR,,,2,0.600762,0.833625498,,,Scanned 7/2,,,0.049,0.472,0.482,1.079,2.158,0.964,,,,,,64.8635,6.62576,6.6651,,0.094896991,69960.59031,69.96059031,,,,,,,,,,
,60,60,,2-Thin1,HickKing,1314,4,1,TWR,,,3,0.600762,0.833625498,,,Scanned 7/2,,,0.072,0.687,0.578,1.217,2.434,1.156,,,,,,48.62143,5.54104,5.54378,,0.184571217,26963.0663,26.9630663,,,,,,,,,,
,61,61,,2-Thin1,HickKing,1314,4,1,TWR,,,4,0.600762,0.833625498,,,Scanned 7/2,,,0.065,0.55,0.477,1.084,2.168,0.954,,,,,,73.48049,4.38683,5.42212,,0.092400496,81396.03873,81.39603873,,,,,,,,,,
,62,62,,2-Thin1,HickKing,1327,6,1,MWR,,,1,0.698179,,0.797389376,,Scanned 7/2,,,*,*,*,*,#VALUE!,#VALUE!,,,,,CT2,261.08673,23.04434,23.05346,,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,
,63,63,,2-Thin1,HickKing,1327,6,1,MWR,,,2,0.698179,,0.797389376,,Scanned 7/2,,,0.082,0.679,0.381,1.114,2.228,0.762,,,,,,103.91478,7.69115,7.69115,,0.048389373,219802.6125,219.8026125,,,,,,,,,,
,64,64,,2-Thin1,HickKing,1327,6,1,MWR,,,3,0.698179,,0.797389376,,Scanned 7/2,,,0.123,1.114,0.618,1.655,3.31,1.236,,,,,,143.90334,9.78693,10.06828,,0.306798551,48009.04821,48.00904821,,,,,,,,,,
,65,65,,2-Thin1,HickKing,1350,1,1,TWR,,,1,0.340765,0.775170654,,,Scanned 7/2,,,0.145,1.204,0.787,1.898,3.796,1.574,,,,,,172.24732,10.71841,11.03775,,0.726624917,24263.17964,24.26317964,,,,,,,,,,
,66,66,,2-Thin1,HickKing,1350,1,1,TWR,,,2,0.340765,0.775170654,,,Scanned 7/2,,,0.226,0.828,0.766,1.361,2.722,1.532,,,,,,141.79989,12.00581,12.34076,,0.480434643,30209.74819,30.20974819,,,,,,,,,,
,67,67,,2-Thin1,HickKing,1350,1,1,TWR,,,3,0.340765,0.775170654,,,Scanned 7/2,,,0.126,0.874,0.695,1.613,3.226,1.39,,,,,,189.89275,6.89274,9.91478,,0.425283626,45702.00444,45.70200444,,,,,,,,,,
,68,68,,2-Thin1,HickKing,1350,1,1,TWR,,,4,0.340765,0.775170654,,,Scanned 7/2,,,0.136,0.915,0.735,1.725,3.45,1.47,,,,,,154.9977,9.83551,9.83964,,0.537948868,29491.01924,29.49101924,,,,,,,,,,
,69,69,,2-Thin1,HickKing,1350,5,1,MWR,,,1,0.51835,,0.686600246,,Scanned 7/2,,,0.19,1.252,0.979,1.977,,1.958,,,,,,214.67068,22.09874,22.38728,,1.456949927,15081.12129,15.08112129,,,,,,,,,,
,70,70,,2-Thin1,HickKing,1350,5,1,MWR,,,2,0.51835,,0.686600246,,Scanned 7/2,,,*,*,*,*,#VALUE!,#VALUE!,,,,,CT1,249.32473,20.11011,25.46302,,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,
,71,71,,2-Thin1,HickKing,1350,5,1,MWR,,,3,0.51835,,0.686600246,,Scanned 7/2,,,*,*,*,*,#VALUE!,#VALUE!,,,,,CT1,174.43107,12.58033,12.59197,,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,
,72,72,,2-Thin1,HickKing,1350,5,1,MWR,,,4,0.51835,,0.686600246,,Scanned 7/2,,,0.15,1.255,0.764,1.949,3.898,1.528,,,,,,193.06551,18.64014,19.03401,,0.682624382,28948.65744,28.94865744,,,,,,,,,,
,73,73,,2-Thin1,HickKing,1350,7,1,TWR,,,1,0.484431,0.944626791,,,Scanned 7/2,,,0.311,0.369,0.781,1.155,2.31,1.562,,,,,,122.7299,7.79325,7.83115,,0.432140497,29069.05676,29.06905676,,,,,,,,,,
,74,74,,2-Thin1,HickKing,1350,7,1,TWR,,,2,0.484431,0.944626791,,,Scanned 7/2,,,0.291,0.441,0.808,1.26,2.52,1.616,,,,,,99.21715,10.1092,10.41616,,0.522028855,19453.50074,19.45350074,,,,,,,,,,
,75,75,,2-Thin1,HickKing,1350,7,1,TWR,,,3,0.484431,0.944626791,,,Scanned 7/2,,,0.094,0.533,0.576,1.044,2.088,1.152,,,,,,123.97577,3.9693,4.50673,,0.156695971,80981.25647,80.98125647,,,,,,,,,,
,76,76,,2-Thin1,HickKing,1350,7,1,TWR,,,4,0.484431,0.944626791,,,Scanned 7/2,,,1.137,0.696,0.549,1.165,2.33,1.098,,,,,,150.5223,10.01191,10.01191,,0.151402428,101759.1645,101.7591645,,,,,,,,,,
,77,77,,2-Thin1,HickKing,1350,3,1,MWR,,,1,0.56217,,0.831377411,,Scanned 7/2,,,0.164,0.686,0.709,1.403,2.806,1.418,,,,,,251.83633,12.95146,17.74133,,0.392722929,65635.32659,65.63532659,,,,,,,,,,
,78,78,,2-Thin1,HickKing,1350,3,1,MWR,,,2,0.56217,,0.831377411,,Scanned 7/2,,,0.195,1.384,1.072,2.06,4.12,2.144,,,,,,193.22897,24.35822,24.71198,,1.993156764,9922.847293,9.922847293,,,,,,,,,,
