"","ID","Brace.Root.Whorls.in.the.Soil","WR_CHR","Geno","Row","Plant","ai2","bi2","ao","bo","K","BL","UL","MOItruex","MOItruey","MOI_solid_AH","MOI_hollow_AH","E_Mpa_AH","E_GPa_AH","MinorD_AH","MajorD_AH"
"35","A632_1395_6","2","Bottom","A632","1395"," 6",0.044,0.083,2.017,2.718,192.74651,15.12154,18.13068,18.8147566,13.1073246,17.5163744163313,17.5163688635164,1126.28378110967,1.12628378110967,4.034,5.436
"36","A632_1395_6","2","Middle","A632","1395"," 6",0.045,0.0815,2.046,2.858,163.055575,22.46811,20.24224,22.37780975,20.3954913,19.2245501103739,19.2245442776393,868.13045838057,0.86813045838057,4.092,5.716
"38","B73_1311_1","2","Middle","B73","1311"," 1",1.076,1.54033333333333,1.884,2.691,114.234766666667,9.69334333333333,11.69907,21.6209348333333,15.0939333,14.1329709363951,12.6259176772671,827.313973767372,0.827313973767372,3.768,5.382
"39","B73_1311_10","2","Middle","B73","1311","10",0.0423333333333333,0.0493333333333333,1.78766666666667,2.49133333333333,110.688573333333,8.82955666666667,13.97492,15.5094505,12.7362701333333,11.1781140976329,11.1781111581906,1013.53739853619,1.01353739853619,3.57533333333333,4.98266666666667
"40","B73_1311_11","2","Bottom","B73","1311","11",0.0395,0.04775,1.96275,2.3675,198.51493,15.951825,23.58933,17.500061075,16.831060975,14.059245627075,14.0592433158526,1445.22905211301,1.44522905211301,3.9255,4.735
"41","B73_1311_11","2","Middle","B73","1311","11",0.57875,0.76875,1.68525,2.4545,105.7809375,6.6460425,12.2665375,11.888635925,10.211027675,9.2264177938823,9.10937755121076,1173.49115863909,1.17349115863909,3.3705,4.909
"42","B73_1311_2","3","Middle","B73","1311"," 2",0.0476666666666667,0.052,2.162,2.69066666666667,125.86116,14.40838,17.0078766666667,23.1036204333333,20.8591298666667,21.3552195194619,21.3552150963822,603.244285817793,0.603244285817793,4.324,5.38133333333333
"43","B73_1311_3","3","Middle","B73","1311"," 3",1.378,1.727,2.36525,2.86725,141.61333,14.2329625,19.9084575,27.32753735,30.22069225,29.797085532649,26.2479951206672,486.447386445216,0.486447386445216,4.7305,5.7345
"44","B73_1311_5","3","Middle","B73","1311"," 5",0.7005,1.032,2.0265,2.424,184.92139,14.76179,15.604055,20.53836,14.6102887,15.8434410564665,15.564841007204,1194.65681128447,1.19465681128447,4.053,4.848
"46","B73_1311_7","1","Bottom","B73","1311"," 7",0.027,0.053,1.503,2.2705,122.758475,8.11972,11.26656,6.03161355,9.10439935,6.05446148379758,6.05446066449517,2075.3028892034,2.0753028892034,3.006,4.541
"47","B73_1311_8","2","Middle","B73","1311"," 8",1.5295,1.966,2.357,3.049,85.97235,10.49754,14.455735,27.10224985,31.55269405,31.3554649232866,25.8307607244835,280.640974775973,0.280640974775973,4.714,6.098
"48","B73_1311_9","2","Middle","B73","1311"," 9",1.583,1.615,2.575,2.56,49.34076,7.7534,10.09441,25.2710537,26.8302346,34.328018705,29.296578173351,147.116919735435,0.147116919735435,5.15,5.12
"49","B73_1391_1","2","Bottom","B73","1391"," 1",0.051,0.0615,2.51,2.8815,151.468155,17.9898,19.40139,27.8713976,28.80273265,35.7863051698862,35.7862987627683,433.221499340716,0.433221499340716,5.02,5.763
"50","B73_1391_1","2","Middle","B73","1391"," 1",0.0376666666666667,0.065,1.821,2.553,106.151706666667,10.362495,15.1907,12.9849270333333,13.0577650333333,12.1075905274075,12.1075877992967,897.376687088672,0.897376687088672,3.642,5.106
"51","B73_1391_12","2","Middle","B73","1391","12",0.048,0.061,2.21933333333333,2.70666666666667,110.829186666667,8.65455,16.0616433333333,15.9914152333333,15.0707681666667,23.2369677663332,23.2369624681055,488.180263349445,0.488180263349445,4.43866666666667,5.41333333333333
"52","B73_1391_2","3","Middle","B73","1391"," 2",0.0413333333333333,0.071,1.86566666666667,2.75,84.9746266666667,7.46895333333333,12.8520766666667,14.5088202,11.4025051,14.0252923644671,14.0252884268207,620.13018155064,0.62013018155064,3.73133333333333,5.5
"53","B73_1391_3","2","Bottom","B73","1391"," 3",0.051,0.076,2.415,2.933,71.0019,13.90337,15.97305,30.2941906,28.3661714,32.4444593078265,32.4444513900872,223.993262988264,0.223993262988264,4.83,5.866
"54","B73_1391_3","2","Middle","B73","1391"," 3",0.0575,0.0695,2.05225,2.5295,61.4155925,5.07599,9.3960925,12.604712625,11.772689425,17.1712752344113,17.1712648575643,366.084737729882,0.366084737729882,4.1045,5.059
