Geno,Plant,WR,Root,K,BL,UL,Testing Notes,DCMax,DCMin,a,b,MOI,E_MPa,E_GPa,,,,,,,,,,,,,,
A632,5,2,1,132.96769,,28.96249,no BL,4.45,4.03,2.015,2.225,14.29700431,951.9334826,0.951933483,,,,,,,,,,,,,,
A632,5,2,2,173.57839,28.76078,29.10911,good test,4.76,4.52,2.26,2.38,21.57705437,823.3965191,0.823396519,,,,,,,,,,,,,,
A632,5,2,3,,,,too short,4.87,4.62,2.31,2.435,23.57353902,0,0,,,,,,,,,,,,,,
A632,5,2,4,187.27062,35.90565,35.94696,good test,5.02,4.33,2.165,2.51,20.00494238,958.1596329,0.958159633,,,,,,,,,,,,,,
A632,5,3,1,152.23793,17.50175,28.0147,good test,4.76,3.82,1.91,2.38,13.02467635,1196.358823,1.196358823,,,,,,,,,,,,,,
A632,5,3,2,104.39502,11.83495,21.34659,good test,4.77,4.25,2.125,2.385,17.97442755,594.4704078,0.594470408,,,,,,,,,,,,,,
A632,5,3,3,276.7369,,44.01642,no BL,5.28,4.49,2.245,2.64,23.46080146,1207.340458,1.207340458,,,,,,,,,,,,,,
A632,5,3,4,,,,,5.55,5,2.5,2.775,34.05437349,0,0,,,,,,,,,,,,,,
A632,6,1,1,111.32724,21.78923,21.78923,good test,4.28,4.14,2.07,2.14,14.9078389,764.3500141,0.764350014,,,,,,,,,,,,,,
A632,6,1,2,153.39722,10.29935,32.20925,good test,3.98,3.68,1.84,1.99,9.736355591,1612.599753,1.612599753,,,,,,,,,,,,,,
A632,6,1,3,100.52233,19.0705,19.13752,no BL,3.88,3.42,1.71,1.94,7.61868368,1350.479919,1.350479919,,,,,,,,,,,,,,
A632,6,1,4,,,,,2.82,2.47,1.235,1.41,2.085978687,0,0,,,,,,,,,,,,,,
A632,6,2,1,184.64492,27.05068,29.84427,no BL,4.69,4.68,2.34,2.345,23.59827733,800.8710405,0.80087104,,,,,,,,,,,,,,
A632,6,2,2,164.24722,42.74769,42.98886,good test,5.69,5.13,2.565,2.845,37.70806616,445.8300051,0.445830005,,,,,,,,,,,,,,
A632,6,2,3,246.30862,30.09903,37.98857,good test,5.63,5.32,2.66,2.815,41.61148266,605.8595352,0.605859535,,,,,,,,,,,,,,
A632,6,2,4,,,,,5.42,5.21,2.605,2.71,37.62550652,0,0,,,,,,,,,,,,,,
A632,6,3,1,147.82631,,20.37295,no BL,4.02,3.73,1.865,2.01,10.24053031,1477.524925,1.477524925,,,,,,,,,,,,,,
A632,6,3,2,172.32767,38.56689,43.69752,good test,5.69,5.48,2.74,2.845,45.96463762,383.739674,0.383739674,,,,,,,,,,,,,,
A632,6,3,3,324.59283,43.65483,53.86013,good test,5.2,4.78,2.39,2.6,27.87769948,1191.756466,1.191756466,,,,,,,,,,,,,,
