General : Start date,"2020-09-02"
General : End date,"2020-09-02"
General : Unique identifier,"{525303F0-5A9A-48A9-86B0-37E8C3DB49FB}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"1267 P2 W1 3 (4 samples)"
Break (Standard) : Load at Break (Standard),"7.74457",N
Maximum Load : Maximum Load,"8.38266",N

Time,Extension,Load
(s),(mm),(N)
"34.40000","0.57257","5.81766"
"34.50000","0.57413","5.82468"
"34.60000","0.57587","5.83677"
"34.70000","0.57770","5.85038"
"34.80000","0.57944","5.86184"
"34.90000","0.58121","5.87353"
"35.00000","0.58301","5.88639"
"35.10000","0.58481","5.89817"
"35.20000","0.58647","5.90608"
"35.30000","0.58806","5.91209"
"35.40000","0.58968","5.92045"
"35.50000","0.59138","5.93054"
"35.60000","0.59304","5.93947"
"35.70000","0.59470","5.94947"
"35.80000","0.59638","5.95915"
"35.90000","0.59808","5.96982"
"36.00000","0.59979","5.98077"
"36.10000","0.60148","5.99104"
"36.20000","0.60322","6.00279"
"36.30000","0.60482","6.00972"
"36.40000","0.60649","6.02011"
"36.50000","0.60823","6.03275"
"36.60000","0.60994","6.04272"
"36.70000","0.61158","6.05166"
"36.80000","0.61327","6.06184"
"36.90000","0.61498","6.07269"
"37.00000","0.61670","6.08384"
"37.10000","0.61835","6.09309"
"37.20000","0.61999","6.10187"
"37.30000","0.62164","6.11113"
"37.40000","0.62329","6.12014"
"37.50000","0.62492","6.12891"
"37.60000","0.62657","6.13880"
"37.70000","0.62826","6.14937"
"37.80000","0.62995","6.15962"
"37.90000","0.63154","6.16712"
"38.00000","0.63320","6.17770"
"38.10000","0.63489","6.18837"
"38.20000","0.63657","6.19920"
"38.30000","0.63830","6.21168"
"38.40000","0.63993","6.21983"
"38.50000","0.64149","6.22660"
"38.60000","0.64308","6.23531"
"38.70000","0.64479","6.24785"
"38.80000","0.64640","6.25588"
"38.90000","0.64804","6.26606"
"39.00000","0.64971","6.27681"
"39.10000","0.65137","6.28768"
"39.20000","0.65310","6.29965"
"39.30000","0.65477","6.30960"
"39.40000","0.65646","6.32046"
"39.50000","0.65817","6.33136"
"39.60000","0.65977","6.33939"
"39.70000","0.66154","6.35211"
"39.80000","0.66322","6.36129"
"39.90000","0.66475","6.36646"
"40.00000","0.66635","6.37460"
"40.10000","0.66806","6.38572"
"40.20000","0.66970","6.39437"
"40.30000","0.67134","6.40215"
"40.40000","0.67293","6.40974"
"40.50000","0.67452","6.41695"
"40.60000","0.67618","6.42746"
"40.70000","0.67777","6.43427"
"40.80000","0.67938","6.44297"
"40.90000","0.68107","6.45381"
"41.00000","0.68278","6.46416"
"41.10000","0.68447","6.47362"
