Year,Row,Geno,Condition,Stage,Plant.ID,WR,Root,Section,K,BL,UL,ai2,bi2,ai,bi,ao,bo,MajorD,MinorD,MajorThicc,MinorThicc,MajorThicc2,MinorThicc2,MOI_solid,E_MPa_solid,E,MOI_hollow,E_MPa_hollow,E_GPa_hollow,MOI_hollow2,E_MPa_hollow2,E_GPa_hollow2,Condcolor,Sample,Grow
2019,,B73,Dry/Greenhouse,V14,P07,BWR,R1,S1,19.47213,5.77861,54.46378,0.333,0.633,0.644,1.275,0.853,1.473,2.946,1.706,0.198,0.209,0.84,0.52,0.718025258,2775.743077,2.775743077,0.45056598,4423.444576,4.423444576,0.699667219,2848.573701,2.848573701,indianred,Dry,Greenhouse
2019,,B73,Dry/Greenhouse,V14,P07,BWR,R3,S1,29.4307,10.46184,14.40584,0.323,0.638,0.72,1.181,0.897,1.385,2.77,1.794,0.204,0.177,0.747,0.574,0.78508555,3836.976459,3.836976459,0.438877415,6863.772593,6.863772593,0.768199887,3921.316347,3.921316347,indianred,Dry,Greenhouse
2019,,B73,Dry/Greenhouse,V14,P07,MWR,R1,S1,22.47067,9.56717,14.92535,0.884,1.243,1.15,1.517,1.417,1.836,3.672,2.834,0.319,0.267,0.593,0.533,4.102722177,560.5952836,0.560595284,2.290677158,1004.05537,1.00405537,3.428321799,670.8724668,0.670872467,indianred,Dry,Greenhouse
2019,,B73,Dry/Greenhouse,V14,P07,MWR,R2,S1,17.71079,8.79556,10.23706,0.41,1.173,0.648,1.451,0.985,1.692,3.384,1.97,0.241,0.337,0.519,0.575,1.269985995,1427.396175,1.427396175,0.959899886,1888.50231,1.88850231,1.206491004,1502.516924,1.502516924,indianred,Dry,Greenhouse
2019,,B73,Dry/Greenhouse,V14,P07,MWR,R3,S1,30.97661,9.54783,11.63588,0.51,1.222,0.812,1.416,1.033,1.627,3.254,2.066,0.211,0.221,0.405,0.523,1.408569885,2250.924954,2.250924954,0.813152895,3899.125394,3.899125394,1.281257218,2474.589067,2.474589067,indianred,Dry,Greenhouse
2019,,B73,Dry/Greenhouse,V14,P07,MWR,R5,S1,22.24442,7.75938,10.89576,0.497,0.811,0.712,1.047,1.009,1.266,2.532,2.018,0.219,0.297,0.455,0.512,1.021402898,2229.099875,2.229099875,0.724594255,3142.184826,3.142184826,0.943207733,2413.899921,2.413899921,indianred,Dry,Greenhouse
2019,,B73,Dry/Greenhouse,V14,P07,TWR,R1,S1,14.68782,11.77335,12.20209,0.085,1.14,0.445,1.621,0.604,1.897,3.794,1.208,0.276,0.159,0.757,0.519,0.328297842,4579.255126,4.579255126,0.216108157,6956.514726,6.956514726,0.327747983,4586.937692,4.586937692,indianred,Dry,Greenhouse
2019,,B73,Dry/Greenhouse,V14,P07,TWR,R2,S1,17.76201,8.82325,9.07952,0.225,1.087,0.548,1.419,0.681,1.622,3.244,1.362,0.203,0.133,0.535,0.456,0.402329676,4518.721443,4.518721443,0.218923501,8304.342489,8.304342489,0.392605182,4630.646293,4.630646293,indianred,Dry,Greenhouse
2019,,B73,Dry/Greenhouse,V14,P07,TWR,R3,S1,10.73043,10.85946,11.24538,0.102,1.247,0.178,1.442,0.375,1.636,3.272,0.75,0.194,0.197,0.389,0.273,0.067758999,16208.97934,16.20897934,0.061371731,17895.93024,17.89593024,0.066719661,16461.47777,16.46147777,indianred,Dry,Greenhouse
2019,,B73,Dry/Greenhouse,V14,P07,TWR,R4,S1,11.96926,7.935,9.08963,0.375,1.216,0.49,1.476,0.64,1.616,3.232,1.28,0.14,0.15,0.4,0.265,0.332714064,3682.151624,3.682151624,0.196329733,6240.031062,6.240031062,0.282350407,4338.947639,4.338947639,indianred,Dry,Greenhouse
2019,,B73,Dry/Greenhouse,V14,P08,BWR,R2,S1,25.49971,10.45739,14.17648,1.024,1.288,1.194,1.226,1.39,1.518,3.036,2.78,0.292,0.196,0.23,0.366,3.201887389,815.1447099,0.81514471,1.562833126,1670.044949,1.670044949,2.115697854,1233.63625,1.23363625,indianred,Dry,Greenhouse
2019,,B73,Dry/Greenhouse,V14,P08,BWR,R4,S1,16.97394,4.9926,6.72583,0.325,0.613,0.644,0.95,0.825,1.106,2.212,1.65,0.156,0.181,0.493,0.5,0.487760755,3561.896825,3.561896825,0.288477371,6022.49486,6.02249486,0.471233511,3686.820747,3.686820747,indianred,Dry,Greenhouse
2019,,B73,Dry/Greenhouse,V14,P08,BWR,R5,S1,26.28915,7.75219,14.12777,0.811,1.655,0.926,1.672,1.112,1.863,3.726,2.224,0.191,0.186,0.208,0.301,2.011949603,1337.411253,1.337411253,0.969250225,2776.170663,2.776170663,1.31860292,2040.647718,2.040647718,indianred,Dry,Greenhouse
2019,,B73,Dry/Greenhouse,V14,P08,MWR,R1,S1,20.76358,0.95747,13.44798,0.611,1.158,0.784,1.707,1.012,1.924,3.848,2.024,0.217,0.228,0.766,0.401,1.566161294,1356.973216,1.356973216,0.920103172,2309.783286,2.309783286,1.35870717,1564.162591,1.564162591,indianred,Dry,Greenhouse
2019,,B73,Dry/Greenhouse,V14,P08,MWR,R2,S1,34.88897,13.53454,13.94309,0.561,1.327,0.682,1.592,0.932,1.831,3.662,1.864,0.239,0.25,0.504,0.371,1.164195625,3067.380924,3.067380924,0.76756516,4652.414722,4.652414722,0.980182251,3643.232111,3.643232111,indianred,Dry,Greenhouse
2019,,B73,Dry/Greenhouse,V14,P08,MWR,R4,S1,19.05864,11.43631,11.84102,0.678,1.267,0.843,1.575,1.173,1.83,3.66,2.346,0.255,0.33,0.563,0.495,2.319717012,840.9349955,0.840934996,1.578657368,1235.690058,1.235690058,2.009578586,970.7165613,0.970716561,indianred,Dry,Greenhouse
2019,,B73,Dry/Greenhouse,V14,P08,TWR,R4,S1,4.52081,3.05936,3.06058,0.189,0.262,0.284,0.553,0.46,0.742,1.484,0.92,0.189,0.176,0.48,0.271,0.056724057,8157.451493,8.157451493,0.046775272,9892.486382,9.892486382,0.055334819,8362.252738,8.362252738,indianred,Dry,Greenhouse
2019,,B73,Dry/Greenhouse,V15,P09,BWR,R1,S1,41.32757,16.75379,17.04961,0.745,1.276,1.04,1.393,1.337,1.686,3.372,2.674,0.293,0.297,0.41,0.592,3.164766505,1336.606976,1.336606976,1.9340982,2187.091115,2.187091115,2.750376402,1537.989122,1.537989122,indianred,Dry,Greenhouse
2019,,B73,Dry/Greenhouse,V15,P09,BWR,R2,S1,54.4344,14.38843,22.95143,0.877,1.082,1.135,1.035,1.577,1.339,2.678,3.154,0.304,0.442,0.257,0.7,4.124445207,1350.869601,1.350869601,2.935894223,1897.748088,1.897748088,3.551232351,1568.916675,1.568916675,indianred,Dry,Greenhouse
2019,,B73,Dry/Greenhouse,V15,P09,BWR,R4,S1,31.83194,16.4789,18.36001,0.722,1.227,0.993,1.412,1.413,1.712,3.424,2.826,0.3,0.42,0.485,0.691,3.793325646,858.911677,0.858911677,2.707469426,1203.386329,1.203386329,3.430626915,949.7190377,0.949719038,indianred,Dry,Greenhouse
2019,,B73,Dry/Greenhouse,V15,P09,MWR,R1,S1,26.22488,22.14264,22.97853,0.308,1.19,0.812,1.365,0.993,1.671,3.342,1.986,0.306,0.181,0.481,0.685,1.285032397,2088.838962,2.088838962,0.711060511,3774.961058,3.774961058,1.257724453,2134.192216,2.134192216,indianred,Dry,Greenhouse
2019,,B73,Dry/Greenhouse,V15,P09,MWR,R5,S1,22.30948,1.20741,1.35754,0.643,0.809,0.647,0.893,1.19,1.253,2.506,2.38,0.36,0.543,0.444,0.547,1.658371542,1376.934044,1.376934044,1.468415032,1555.056428,1.555056428,1.489455335,1533.089433,1.533089433,indianred,Dry,Greenhouse
2019,,B73,Dry/Greenhouse,V15,P10,BWR,R1,S1,15.218,14.95525,14.96143,0.197,0.84,0.581,1.002,0.734,1.274,2.548,1.468,0.272,0.153,0.434,0.537,0.395683089,3936.548599,3.936548599,0.241340422,6454.060603,6.454060603,0.390639173,3987.377143,3.987377143,indianred,Dry,Greenhouse
2019,,B73,Dry/Greenhouse,V15,P10,BWR,R2,S1,27.64278,15.88305,16.60688,1.013,1.059,1.216,1.164,1.633,1.521,3.042,3.266,0.357,0.417,0.462,0.62,5.202087462,543.8881472,0.543888147,3.558307861,795.1402244,0.795140224,4.337489559,652.3021376,0.652302138,indianred,Dry,Greenhouse
2019,,B73,Dry/Greenhouse,V15,P10,BWR,R4,S1,8.9269,6.95305,7.55258,0.323,0.56,0.479,0.649,0.67,0.978,1.956,1.34,0.329,0.191,0.418,0.347,0.231021896,3955.059781,3.955059781,0.175002152,5221.109556,5.221109556,0.216200624,4226.192285,4.226192285,indianred,Dry,Greenhouse
2019,,B73,Dry/Greenhouse,V15,P10,BWR,R6,S1,28.56306,12.4295,14.87257,0.401,1.18,0.632,1.311,1.042,1.718,3.436,2.084,0.407,0.41,0.538,0.641,1.526568152,1915.111487,1.915111487,1.266645693,2308.10259,2.30810259,1.46680892,1993.135004,1.993135004,indianred,Dry,Greenhouse
2019,,B73,Dry/Greenhouse,V15,P10,TWR,R2,S1,6.0383,4.35531,4.37456,0.06,0.855,0.102,0.587,0.407,1.201,2.402,0.814,0.614,0.305,0.346,0.347,0.063593996,9718.608701,9.718608701,0.063104749,9793.956497,9.793956497,0.063448949,9740.825905,9.740825905,indianred,Dry,Greenhouse
2019,,B73,Dry/Greenhouse,V15,P11,BWR,R1,S1,41.50543,15.53381,24.52053,0.592,1.271,1.004,1.788,1.342,2.359,4.718,2.684,0.571,0.338,1.088,0.75,4.477910094,948.7134869,0.948713487,3.056699179,1389.817398,1.389817398,4.270800341,994.7207457,0.994720746,indianred,Dry,Greenhouse
2019,,B73,Dry/Greenhouse,V15,P11,BWR,R2,S1,42.05796,24.44131,29.88986,0.444,1.433,1.381,2.001,1.968,2.726,5.452,3.936,0.725,0.587,1.293,1.524,16.31890504,263.7926649,0.263792665,12.17968984,353.4414672,0.353441467,16.22039398,265.3947526,0.265394753,indianred,Dry,Greenhouse
