General : Start date,"2020-08-07"
General : End date,"2020-08-07"
General : Unique identifier,"{EEC498D4-7B12-493F-8C41-D095A7B2516F}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"P1 W1 R1"
Break (Standard) : Load at Break (Standard),"23.08853",N
Maximum Load : Maximum Load,"27.32899",N

Time,Extension,Load
(s),(mm),(N)
"47.40000","0.78966","10.86303"
"47.50000","0.79141","10.89485"
"47.60000","0.79300","10.91345"
"47.70000","0.79458","10.93293"
"47.80000","0.79621","10.95567"
"47.90000","0.79791","10.98274"
"48.00000","0.79962","11.00898"
"48.10000","0.80141","11.03953"
"48.20000","0.80313","11.06520"
"48.30000","0.80487","11.09465"
"48.40000","0.80658","11.11911"
"48.50000","0.80832","11.14523"
"48.60000","0.80999","11.16765"
"48.70000","0.81153","11.18162"
"48.80000","0.81312","11.20062"
"48.90000","0.81480","11.22422"
"49.00000","0.81645","11.24669"
"49.10000","0.81806","11.26599"
"49.20000","0.81968","11.28812"
"49.30000","0.82131","11.31048"
"49.40000","0.82285","11.32839"
"49.50000","0.82454","11.36406"
"49.60000","0.82612","11.38298"
"49.70000","0.82778","11.40914"
"49.80000","0.82943","11.43274"
"49.90000","0.83126","11.46916"
"50.00000","0.83308","11.50272"
"50.10000","0.83476","11.52751"
"50.20000","0.83643","11.55164"
"50.30000","0.83806","11.57272"
"50.40000","0.83980","11.60227"
"50.50000","0.84145","11.62401"
"50.60000","0.84303","11.64165"
"50.70000","0.84471","11.66731"
"50.80000","0.84636","11.68895"
"50.90000","0.84800","11.71070"
"51.00000","0.84959","11.72893"
"51.10000","0.85121","11.74851"
"51.20000","0.85280","11.76629"
"51.30000","0.85441","11.78670"
"51.40000","0.85616","11.82160"
"51.50000","0.85784","11.84525"
"51.60000","0.85947","11.86718"
"51.70000","0.86114","11.89136"
"51.80000","0.86277","11.91276"
"51.90000","0.86438","11.93160"
"52.00000","0.86607","11.95616"
"52.10000","0.86779","11.98271"
"52.20000","0.86948","12.00513"
"52.30000","0.87118","12.02803"
"52.40000","0.87285","12.04961"
"52.50000","0.87455","12.07158"
"52.60000","0.87623","12.09364"
"52.70000","0.87791","12.11514"
"52.80000","0.87959","12.13663"
"52.90000","0.88130","12.16021"
"53.00000","0.88303","12.18374"
"53.10000","0.88469","12.20404"
"53.20000","0.88628","12.22177"
"53.30000","0.88797","12.24773"
"53.40000","0.88976","12.27775"
"53.50000","0.89144","12.30010"
"53.60000","0.89307","12.31940"
"53.70000","0.89473","12.34153"
"53.80000","0.89639","12.36373"
"53.90000","0.89801","12.38273"
"54.00000","0.89964","12.40247"
"54.10000","0.90123","12.41962"
"54.20000","0.90290","12.44145"
"54.30000","0.90462","12.46655"
"54.40000","0.90639","12.49450"
"54.50000","0.90798","12.50913"
"54.60000","0.90971","12.53373"
"54.70000","0.91142","12.55443"
"54.80000","0.91305","12.57109"
"54.90000","0.91468","12.58837"
"55.00000","0.91641","12.61144"
"55.10000","0.91798","12.62468"
"55.20000","0.91940","12.63030"
"55.30000","0.92096","12.64844"
"55.40000","0.92259","12.66922"
"55.50000","0.92413","12.68319"
"55.60000","0.92576","12.70415"
"55.70000","0.92747","12.72983"
"55.80000","0.92927","12.75923"
"55.90000","0.93100","12.78330"
"56.00000","0.93280","12.81157"
"56.10000","0.93458","12.83745"
"56.20000","0.93623","12.85402"
"56.30000","0.93778","12.86521"
"56.40000","0.93941","12.88145"
"56.50000","0.94103","12.89678"
"56.60000","0.94275","12.91716"
"56.70000","0.94450","12.93857"
"56.80000","0.94620","12.95658"
"56.90000","0.94779","12.96826"
"57.00000","0.94935","12.97958"
"57.10000","0.95094","12.99442"
"57.20000","0.95256","13.01099"
