General : Start date,"2020-09-02"
General : End date,"2020-09-02"
General : Unique identifier,"{78DC655F-DF33-4A6B-8575-2865BF350A6B}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"1321 P1 W2 1"
Break (Standard) : Load at Break (Standard),"20.59314",N
Maximum Load : Maximum Load,"24.77087",N

Time,Extension,Load
(s),(mm),(N)
"28.70000","0.47810","9.53673"
"28.80000","0.47974","9.56312"
"28.90000","0.48132","9.58540"
"29.00000","0.48310","9.61487"
"29.10000","0.48490","9.63371"
"29.20000","0.48659","9.66094"
"29.30000","0.48818","9.68404"
"29.40000","0.48978","9.70811"
"29.50000","0.49136","9.73155"
"29.60000","0.49295","9.75448"
"29.70000","0.49451","9.76543"
"29.80000","0.49612","9.78757"
"29.90000","0.49775","9.81569"
"30.00000","0.49949","9.84819"
"30.10000","0.50126","9.88035"
"30.20000","0.50286","9.90336"
"30.30000","0.50451","9.92780"
"30.40000","0.50619","9.95148"
"30.50000","0.50806","9.97090"
"30.60000","0.50983","9.99707"
"30.70000","0.51149","10.02163"
"30.80000","0.51312","10.04564"
"30.90000","0.51481","10.07186"
"31.00000","0.51642","10.09322"
"31.10000","0.51809","10.11714"
"31.20000","0.51974","10.13403"
"31.30000","0.52142","10.15707"
"31.40000","0.52304","10.18004"
"31.50000","0.52466","10.20382"
"31.60000","0.52625","10.22606"
"31.70000","0.52784","10.24775"
"31.80000","0.52946","10.26647"
"31.90000","0.53114","10.28613"
"32.00000","0.53283","10.31365"
"32.10000","0.53455","10.34125"
"32.20000","0.53612","10.36075"
"32.30000","0.53790","10.39153"
"32.40000","0.53980","10.41966"
"32.50000","0.54148","10.43558"
"32.60000","0.54308","10.45625"
"32.70000","0.54471","10.47975"
"32.80000","0.54635","10.50293"
"32.90000","0.54801","10.52544"
"33.00000","0.54973","10.54860"
"33.10000","0.55134","10.55972"
"33.20000","0.55294","10.57896"
"33.30000","0.55457","10.60143"
"33.40000","0.55624","10.62568"
"33.50000","0.55788","10.64759"
"33.60000","0.55946","10.66641"
"33.70000","0.56125","10.69539"
"33.80000","0.56299","10.72116"
"33.90000","0.56467","10.74307"
"34.00000","0.56631","10.76395"
"34.10000","0.56801","10.78698"
"34.20000","0.56970","10.80862"
"34.30000","0.57134","10.82971"
"34.40000","0.57301","10.85234"
"34.50000","0.57466","10.87441"
"34.60000","0.57632","10.89719"
"34.70000","0.57806","10.92244"
"34.80000","0.57972","10.94008"
"34.90000","0.58142","10.96353"
"35.00000","0.58312","10.98779"
"35.10000","0.58479","11.00980"
"35.20000","0.58640","11.02789"
"35.30000","0.58811","11.05160"
"35.40000","0.58974","11.07094"
"35.50000","0.59134","11.08888"
"35.60000","0.59294","11.10820"
"35.70000","0.59459","11.13050"
"35.80000","0.59636","11.15695"
"35.90000","0.59803","11.17923"
"36.00000","0.59964","11.19862"
"36.10000","0.60115","11.21414"
"36.20000","0.60270","11.23231"
"36.30000","0.60436","11.25563"
"36.40000","0.60596","11.27499"
"36.50000","0.60762","11.29629"
"36.60000","0.60926","11.31617"
"36.70000","0.61095","11.33940"
"36.80000","0.61272","11.36647"
"36.90000","0.61432","11.38219"
"37.00000","0.61618","11.41238"
"37.10000","0.61798","11.43664"
"37.20000","0.61959","11.45259"
"37.30000","0.62125","11.47365"
"37.40000","0.62295","11.49641"
"37.50000","0.62460","11.51614"
"37.60000","0.62614","11.52997"
"37.70000","0.62783","11.55198"
"37.80000","0.62954","11.57081"
"37.90000","0.63119","11.58938"
"38.00000","0.63283","11.60962"
"38.10000","0.63455","11.63550"
"38.20000","0.63623","11.65706"
"38.30000","0.63785","11.67237"
"38.40000","0.63956","11.69038"
"38.50000","0.64127","11.71436"
"38.60000","0.64301","11.74064"
"38.70000","0.64477","11.76700"
"38.80000","0.64652","11.79238"
"38.90000","0.64844","11.82321"
"39.00000","0.65023","11.84174"
"39.10000","0.65178","11.85408"
"39.20000","0.65334","11.87088"
"39.30000","0.65494","11.89032"
"39.40000","0.65652","11.90891"
"39.50000","0.65802","11.92341"
"39.60000","0.65949","11.93722"
"39.70000","0.66106","11.95580"
"39.80000","0.66269","11.97591"
"39.90000","0.66426","11.98750"
"40.00000","0.66586","12.00828"
"40.10000","0.66744","12.02784"
"40.20000","0.66892","12.04273"
"40.30000","0.67066","12.06847"
"40.40000","0.67237","12.09079"
"40.50000","0.67404","12.10508"
"40.60000","0.67578","12.12885"
"40.70000","0.67752","12.15263"
"40.80000","0.67921","12.17248"
"40.90000","0.68094","12.19401"
"41.00000","0.68268","12.21406"
"41.10000","0.68438","12.23213"
"41.20000","0.68608","12.25158"
"41.30000","0.68785","12.27426"
"41.40000","0.68954","12.29336"
"41.50000","0.69130","12.31594"
"41.60000","0.69316","12.34080"
"41.70000","0.69484","12.35562"
"41.80000","0.69656","12.37545"
"41.90000","0.69833","12.39897"
"42.00000","0.70006","12.42084"
"42.10000","0.70187","12.44540"
"42.20000","0.70344","12.45809"
"42.30000","0.70500","12.47315"
"42.40000","0.70682","12.50275"
"42.50000","0.70861","12.52290"
"42.60000","0.71012","12.52449"
"42.70000","0.71167","12.54363"
"42.80000","0.71343","12.57251"
"42.90000","0.71507","12.59378"
"43.00000","0.71654","12.60661"
"43.10000","0.71809","12.62485"
"43.20000","0.71979","12.64919"
"43.30000","0.72155","12.67351"
"43.40000","0.72311","12.68733"
"43.50000","0.72457","12.69914"
"43.60000","0.72616","12.71953"
"43.70000","0.72786","12.74322"
"43.80000","0.72951","12.76252"
"43.90000","0.73114","12.77876"
"44.00000","0.73280","12.79638"
"44.10000","0.73448","12.81688"
"44.20000","0.73609","12.83438"
"44.30000","0.73771","12.85267"
"44.40000","0.73936","12.87139"
"44.50000","0.74106","12.89001"
"44.60000","0.74277","12.90576"
"44.70000","0.74450","12.92824"
"44.80000","0.74621","12.94952"
"44.90000","0.74792","12.97079"
"45.00000","0.74962","12.99116"
"45.10000","0.75125","13.00699"
"45.20000","0.75291","13.02437"
"45.30000","0.75464","13.04671"
"45.40000","0.75636","13.06824"
"45.50000","0.75812","13.09210"
"45.60000","0.75990","13.11566"
"45.70000","0.76160","13.13430"
"45.80000","0.76328","13.15141"
"45.90000","0.76490","13.16561"
"46.00000","0.76647","13.17987"
"46.10000","0.76808","13.19709"
"46.20000","0.76981","13.21984"
"46.30000","0.77152","13.23719"
"46.40000","0.77324","13.25739"
"46.50000","0.77491","13.27663"
"46.60000","0.77657","13.29615"
"46.70000","0.77822","13.31376"
"46.80000","0.77990","13.33246"
"46.90000","0.78172","13.35548"
"47.00000","0.78330","13.36574"
"47.10000","0.78485","13.37873"
"47.20000","0.78653","13.39970"
"47.30000","0.78814","13.41632"
"47.40000","0.78971","13.43099"
"47.50000","0.79125","13.44326"
"47.60000","0.79286","13.46045"
"47.70000","0.79454","13.48053"
"47.80000","0.79616","13.49767"
"47.90000","0.79777","13.51494"
"48.00000","0.79940","13.53357"
"48.10000","0.80111","13.55458"
"48.20000","0.80282","13.57363"
"48.30000","0.80448","13.58955"
"48.40000","0.80620","13.60892"
"48.50000","0.80788","13.62670"
"48.60000","0.80965","13.64898"
"48.70000","0.81156","13.67623"
"48.80000","0.81333","13.69442"
"48.90000","0.81499","13.70973"
"49.00000","0.81656","13.72153"
"49.10000","0.81806","13.73117"
"49.20000","0.81972","13.74968"
"49.30000","0.82137","13.76540"
"49.40000","0.82301","13.78159"
"49.50000","0.82466","13.79973"
"49.60000","0.82623","13.81523"
"49.70000","0.82785","13.83295"
"49.80000","0.82959","13.85649"
"49.90000","0.83121","13.86941"
"50.00000","0.83277","13.88062"
"50.10000","0.83447","13.90200"
"50.20000","0.83625","13.92729"
"50.30000","0.83793","13.94534"
"50.40000","0.83960","13.96213"
"50.50000","0.84120","13.97409"
"50.60000","0.84286","13.99011"
"50.70000","0.84454","14.00724"
"50.80000","0.84618","14.02205"
"50.90000","0.84785","14.03604"
"51.00000","0.84948","14.04772"
"51.10000","0.85110","14.06107"
"51.20000","0.85277","14.07718"
"51.30000","0.85441","14.09138"
"51.40000","0.85604","14.10543"
"51.50000","0.85765","14.11754"
"51.60000","0.85928","14.13239"
"51.70000","0.86090","14.14625"
"51.80000","0.86256","14.16159"
"51.90000","0.86427","14.17971"
"52.00000","0.86602","14.19857"
"52.10000","0.86778","14.21868"
"52.20000","0.86950","14.23524"
"52.30000","0.87119","14.25076"
"52.40000","0.87282","14.26356"
"52.50000","0.87452","14.27860"
"52.60000","0.87622","14.29345"
"52.70000","0.87786","14.30632"
"52.80000","0.87956","14.32211"
"52.90000","0.88122","14.33588"
"53.00000","0.88292","14.35183"
"53.10000","0.88465","14.36970"
"53.20000","0.88636","14.38552"
"53.30000","0.88785","14.39095"
"53.40000","0.88966","14.41463"
"53.50000","0.89139","14.43095"
"53.60000","0.89298","14.44193"
"53.70000","0.89460","14.45627"
"53.80000","0.89617","14.46778"
"53.90000","0.89778","14.48184"
"54.00000","0.89942","14.49678"
"54.10000","0.90105","14.51129"
"54.20000","0.90269","14.52636"
"54.30000","0.90437","14.54378"
"54.40000","0.90612","14.56346"
"54.50000","0.90782","14.57907"
"54.60000","0.90949","14.59206"
"54.70000","0.91114","14.60659"
"54.80000","0.91287","14.62516"
"54.90000","0.91460","14.64247"
"55.00000","0.91610","14.64877"
"55.10000","0.91804","14.67766"
"55.20000","0.91996","14.69976"
"55.30000","0.92157","14.70841"
"55.40000","0.92314","14.71758"
"55.50000","0.92480","14.73232"
"55.60000","0.92646","14.74692"
"55.70000","0.92805","14.75832"
"55.80000","0.92966","14.77177"
"55.90000","0.93125","14.78444"
"56.00000","0.93283","14.79665"
"56.10000","0.93455","14.81618"
"56.20000","0.93630","14.83628"
"56.30000","0.93804","14.85640"
"56.40000","0.93978","14.87561"
"56.50000","0.94139","14.88711"
"56.60000","0.94305","14.90303"
"56.70000","0.94493","14.92906"
"56.80000","0.94658","14.94171"
"56.90000","0.94818","14.95234"
"57.00000","0.94980","14.96531"
"57.10000","0.95144","14.97745"
"57.20000","0.95306","14.98953"
"57.30000","0.95463","14.99974"
"57.40000","0.95623","15.01269"
"57.50000","0.95783","15.02624"
"57.60000","0.95940","15.03926"
"57.70000","0.96096","15.05237"
"57.80000","0.96256","15.06712"
"57.90000","0.96418","15.08235"
"58.00000","0.96585","15.09878"
"58.10000","0.96756","15.11742"
"58.20000","0.96927","15.13642"
"58.30000","0.97092","15.15163"
"58.40000","0.97262","15.16948"
"58.50000","0.97454","15.19726"
"58.60000","0.97648","15.22321"
"58.70000","0.97822","15.23854"
"58.80000","0.97991","15.25282"
"58.90000","0.98161","15.26691"
"59.00000","0.98321","15.27660"
"59.10000","0.98485","15.28959"
"59.20000","0.98660","15.30856"
"59.30000","0.98831","15.32458"
"59.40000","0.98991","15.33513"
"59.50000","0.99152","15.34796"
"59.60000","0.99315","15.36395"
"59.70000","0.99485","15.38486"
"59.80000","0.99650","15.40256"
"59.90000","0.99828","15.42710"
"60.00000","1.00004","15.44832"
"60.10000","1.00168","15.46218"
"60.20000","1.00314","15.46968"
"60.30000","1.00481","15.49027"
"60.40000","1.00653","15.51071"
"60.50000","1.00808","15.52215"
"60.60000","1.00969","15.53773"
"60.70000","1.01138","15.55838"
"60.80000","1.01304","15.57479"
"60.90000","1.01466","15.58864"
"61.00000","1.01629","15.60434"
"61.10000","1.01798","15.62401"
"61.20000","1.01966","15.64311"
"61.30000","1.02131","15.65885"
"61.40000","1.02287","15.66873"
"61.50000","1.02451","15.68491"
"61.60000","1.02621","15.70331"
"61.70000","1.02790","15.71992"
"61.80000","1.02962","15.73853"
"61.90000","1.03131","15.75632"
"62.00000","1.03304","15.77653"
"62.10000","1.03472","15.79343"
"62.20000","1.03626","15.80237"
"62.30000","1.03789","15.81754"
"62.40000","1.03955","15.83278"
"62.50000","1.04121","15.84898"
"62.60000","1.04286","15.86336"
"62.70000","1.04456","15.88104"
"62.80000","1.04615","15.89359"
"62.90000","1.04783","15.91004"
"63.00000","1.04956","15.92694"
"63.10000","1.05124","15.93681"
"63.20000","1.05301","15.95855"
"63.30000","1.05482","15.98100"
"63.40000","1.05648","15.99561"
"63.50000","1.05811","16.00870"
"63.60000","1.05979","16.02382"
"63.70000","1.06144","16.03728"
"63.80000","1.06309","16.05274"
"63.90000","1.06472","16.06790"
"64.00000","1.06636","16.08306"
"64.10000","1.06801","16.09929"
"64.20000","1.06953","16.10767"
"64.30000","1.07112","16.12218"
"64.40000","1.07278","16.13892"
"64.50000","1.07444","16.15404"
"64.60000","1.07616","16.17223"
"64.70000","1.07789","16.18994"
"64.80000","1.07954","16.20285"
"64.90000","1.08111","16.21287"
"65.00000","1.08296","16.23877"
"65.10000","1.08484","16.26280"
"65.20000","1.08661","16.27737"
"65.30000","1.08817","16.28319"
"65.40000","1.08972","16.29126"
"65.50000","1.09137","16.30559"
"65.60000","1.09301","16.32030"
"65.70000","1.09461","16.33277"
"65.80000","1.09623","16.34678"
"65.90000","1.09786","16.36187"
"66.00000","1.09958","16.38255"
"66.10000","1.10131","16.40296"
"66.20000","1.10305","16.42286"
"66.30000","1.10465","16.43281"
"66.40000","1.10624","16.44339"
"66.50000","1.10800","16.46302"
"66.60000","1.10978","16.48368"
"66.70000","1.11144","16.49734"
"66.80000","1.11309","16.51080"
"66.90000","1.11478","16.52567"
"67.00000","1.11641","16.53640"
"67.10000","1.11806","16.54752"
"67.20000","1.11972","16.56193"
"67.30000","1.12136","16.57697"
"67.40000","1.12287","16.58585"
"67.50000","1.12443","16.59842"
"67.60000","1.12602","16.61359"
"67.70000","1.12771","16.63383"
"67.80000","1.12944","16.65258"
"67.90000","1.13115","16.66872"
"68.00000","1.13282","16.68631"
"68.10000","1.13445","16.70122"
"68.20000","1.13599","16.71200"
"68.30000","1.13768","16.73093"
"68.40000","1.13952","16.75139"
"68.50000","1.14121","16.76488"
"68.60000","1.14284","16.77818"
"68.70000","1.14451","16.79359"
"68.80000","1.14621","16.80982"
"68.90000","1.14788","16.82331"
"69.00000","1.14949","16.83412"
"69.10000","1.15103","16.84171"
"69.20000","1.15258","16.85102"
"69.30000","1.15420","16.86349"
"69.40000","1.15586","16.87870"
"69.50000","1.15752","16.89286"
"69.60000","1.15907","16.90142"
"69.70000","1.16077","16.92098"
"69.80000","1.16274","16.95044"
"69.90000","1.16451","16.96631"
"70.00000","1.16625","16.98430"
"70.10000","1.16795","16.99944"
"70.20000","1.16972","17.01746"
"70.30000","1.17155","17.03581"
"70.40000","1.17327","17.05040"
"70.50000","1.17494","17.06339"
"70.60000","1.17653","17.07209"
"70.70000","1.17816","17.08507"
"70.80000","1.17984","17.10021"
"70.90000","1.18158","17.11686"
"71.00000","1.18323","17.12577"
"71.10000","1.18484","17.13532"
"71.20000","1.18654","17.15195"
"71.30000","1.18820","17.16714"
"71.40000","1.18973","17.17438"
"71.50000","1.19128","17.18420"
"71.60000","1.19291","17.19946"
"71.70000","1.19468","17.22092"
"71.80000","1.19650","17.24459"
"71.90000","1.19811","17.25735"
"72.00000","1.19969","17.26816"
"72.10000","1.20138","17.28571"
"72.20000","1.20304","17.29906"
"72.30000","1.20469","17.31309"
"72.40000","1.20632","17.32761"
"72.50000","1.20795","17.34131"
"72.60000","1.20962","17.35555"
"72.70000","1.21132","17.36870"
"72.80000","1.21305","17.38470"
"72.90000","1.21454","17.39011"
"73.00000","1.21637","17.41450"
"73.10000","1.21819","17.43618"
"73.20000","1.21987","17.44801"
"73.30000","1.22155","17.46188"
"73.40000","1.22319","17.47337"
"73.50000","1.22479","17.48474"
"73.60000","1.22640","17.49626"
"73.70000","1.22805","17.50912"
"73.80000","1.22965","17.52060"
"73.90000","1.23129","17.53431"
"74.00000","1.23292","17.54742"
"74.10000","1.23449","17.55725"
"74.20000","1.23612","17.56986"
"74.30000","1.23773","17.57958"
"74.40000","1.23935","17.59026"
"74.50000","1.24103","17.60567"
"74.60000","1.24269","17.62126"
"74.70000","1.24435","17.63491"
"74.80000","1.24602","17.64806"
"74.90000","1.24789","17.67171"
"75.00000","1.24962","17.68535"
"75.10000","1.25133","17.69934"
"75.20000","1.25297","17.70973"
"75.30000","1.25455","17.71668"
"75.40000","1.25611","17.72452"
"75.50000","1.25778","17.74040"
"75.60000","1.25948","17.75678"
"75.70000","1.26116","17.76956"
"75.80000","1.26294","17.78412"
"75.90000","1.26472","17.80200"
"76.00000","1.26651","17.82165"
"76.10000","1.26811","17.82930"
"76.20000","1.26965","17.83622"
"76.30000","1.27144","17.85497"
"76.40000","1.27308","17.86213"
"76.50000","1.27469","17.86968"
"76.60000","1.27630","17.87893"
"76.70000","1.27793","17.88959"
"76.80000","1.27958","17.90056"
"76.90000","1.28121","17.91103"
"77.00000","1.28282","17.91965"
"77.10000","1.28448","17.93195"
"77.20000","1.28607","17.93978"
"77.30000","1.28767","17.94843"
"77.40000","1.28932","17.96228"
"77.50000","1.29097","17.97681"
"77.60000","1.29268","17.99373"
"77.70000","1.29440","18.00985"
"77.80000","1.29609","18.02339"
"77.90000","1.29785","18.04062"
